PassengerId,Survived,Pclass,Name,SibSp,Parch,Ticket,Cabin,Age_scaled,Fare_scaled,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Embarked_nan
1,0,3,"Braund, Mr. Owen Harris",1,0,A/5 21171,,-0.5303766406838785,-0.5024451714361923,0.0,1.0,0.0,0.0,1.0,0.0
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,0,PC 17599,C85,0.571830994003175,0.7868452935884461,1.0,0.0,1.0,0.0,0.0,0.0
3,1,3,"Heikkinen, Miss. Laina",0,0,STON/O2. 3101282,,-0.25482473201211503,-0.4888542575852486,1.0,0.0,0.0,0.0,1.0,0.0
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0,113803,C123,0.36516706249935255,0.4207302360686478,1.0,0.0,0.0,0.0,1.0,0.0
5,0,3,"Allen, Mr. William Henry",0,0,373450,,0.36516706249935255,-0.4863374216869257,0.0,1.0,0.0,0.0,1.0,0.0
6,0,3,"Moran, Mr. James",0,0,330877,,,-0.47811642890864375,0.0,1.0,0.0,1.0,0.0,0.0
7,0,1,"McCarthy, Mr. Timothy J",0,0,17463,E46,1.6740386286902287,0.395813560675251,0.0,1.0,0.0,0.0,1.0,0.0
8,0,3,"Palsson, Master. Gosta Leonard",3,1,349909,,-1.9081361840426954,-0.22408312108167944,0.0,1.0,0.0,0.0,1.0,0.0
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",0,2,347742,,-0.1859367548441742,-0.4242561406845337,1.0,0.0,0.0,0.0,1.0,0.0
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,0,237736,,-1.0814804580274051,-0.04295550208861426,1.0,0.0,1.0,0.0,0.0,0.0
11,1,3,"Sandstrom, Miss. Marguerite Rut",1,1,PP 9549,G6,-1.7703602297068137,-0.312172377522981,1.0,0.0,0.0,0.0,1.0,0.0
